pokemon_number,pokemon_name_ch,pokemon_name_jp,pokemon_name_en,pokemon_types,pokemon_abilitys,pokemon_status
001,妙蛙種子,フシギダネ,Bulbasaur,"['草', '毒']","{'普特': '茂盛', '夢特': '葉綠素'}","{'HP': 45, '攻擊': 49, '防禦': 49, '特攻': 65, '特防': 65, '速度': 45, '總和': 318}"
002,妙蛙草,フシギソウ,Ivysaur,"['草', '毒']","{'普特': '茂盛', '夢特': '葉綠素'}","{'HP': 60, '攻擊': 62, '防禦': 63, '特攻': 80, '特防': 80, '速度': 60, '總和': 405}"
003,妙蛙花,フシギバナ,Venusaur,"['草', '毒']","{'普特': '茂盛', '夢特': '葉綠素'}","{'HP': 80, '攻擊': 82, '防禦': 83, '特攻': 100, '特防': 100, '速度': 80, '總和': 525}"
004,小火龍,ヒトカゲ,Charmander,['火'],"{'普特': '猛火', '夢特': '太陽之力'}","{'HP': 39, '攻擊': 52, '防禦': 43, '特攻': 60, '特防': 50, '速度': 65, '總和': 309}"
005,火恐龍,リザード,Charmeleon,['火'],"{'普特': '猛火', '夢特': '太陽之力'}","{'HP': 58, '攻擊': 64, '防禦': 58, '特攻': 80, '特防': 65, '速度': 80, '總和': 405}"
006,噴火龍,リザードン,Charizard,"['火', '飛行']","{'普特': '猛火', '夢特': '太陽之力'}","{'HP': 78, '攻擊': 84, '防禦': 78, '特攻': 109, '特防': 85, '速度': 100, '總和': 534}"
007,傑尼龜,ゼニガメ,Squirtle,['水'],"{'普特': '激流', '夢特': '雨盤'}","{'HP': 44, '攻擊': 48, '防禦': 65, '特攻': 50, '特防': 64, '速度': 43, '總和': 314}"
008,卡咪龜,カメール,Wartortle,['水'],"{'普特': '激流', '夢特': '雨盤'}","{'HP': 59, '攻擊': 63, '防禦': 80, '特攻': 65, '特防': 80, '速度': 58, '總和': 405}"
009,水箭龜,カメックス,Blastoise,['水'],"{'普特': '激流', '夢特': '雨盤'}","{'HP': 79, '攻擊': 83, '防禦': 100, '特攻': 85, '特防': 105, '速度': 78, '總和': 530}"
010,綠毛蟲,キャタピー,Caterpie,['蟲'],"{'普特': '鱗粉', '夢特': '逃跑'}","{'HP': 45, '攻擊': 30, '防禦': 35, '特攻': 20, '特防': 20, '速度': 45, '總和': 195}"
011,鐵甲蛹,トランセル,Metapod,['蟲'],{'普特': '蛻皮'},"{'HP': 50, '攻擊': 20, '防禦': 55, '特攻': 25, '特防': 25, '速度': 30, '總和': 205}"
012,巴大蝶,バタフリー,Butterfree,"['蟲', '飛行']","{'普特': '複眼', '夢特': '有色眼鏡'}","{'HP': 60, '攻擊': 45, '防禦': 50, '特攻': 90, '特防': 80, '速度': 70, '總和': 395}"
013,獨角蟲,ビードル,Weedle,"['蟲', '毒']","{'普特': '鱗粉', '夢特': '逃跑'}","{'HP': 40, '攻擊': 35, '防禦': 30, '特攻': 20, '特防': 20, '速度': 50, '總和': 195}"
014,鐵殼蛹,コクーン,Kakuna,"['蟲', '毒']",{'普特': '蛻皮'},"{'HP': 45, '攻擊': 25, '防禦': 50, '特攻': 25, '特防': 25, '速度': 35, '總和': 205}"
015,大針蜂,スピアー,Beedrill,"['蟲', '毒']","{'普特': '蟲之預感', '夢特': '狙擊手'}","{'HP': 65, '攻擊': 90, '防禦': 40, '特攻': 45, '特防': 80, '速度': 75, '總和': 395}"
016,波波,ポッポ,Pidgey,"['一般', '飛行']","{'普特': ['銳利目光', '蹣跚'], '夢特': '健壯胸肌'}","{'HP': 40, '攻擊': 45, '防禦': 40, '特攻': 35, '特防': 35, '速度': 56, '總和': 251}"
017,比比鳥,ピジョン,Pidgeotto,"['一般', '飛行']","{'普特': ['銳利目光', '蹣跚'], '夢特': '健壯胸肌'}","{'HP': 63, '攻擊': 60, '防禦': 55, '特攻': 50, '特防': 50, '速度': 71, '總和': 349}"
018,大比鳥,ピジョット,Pidgeot,"['一般', '飛行']","{'普特': ['銳利目光', '蹣跚'], '夢特': '健壯胸肌'}","{'HP': 83, '攻擊': 80, '防禦': 75, '特攻': 70, '特防': 70, '速度': 101, '總和': 479}"
019,小拉達,コラッタ,Rattata,['一般'],"{'普特': ['逃跑', '毅力'], '夢特': '活力'}","{'HP': 30, '攻擊': 56, '防禦': 35, '特攻': 25, '特防': 35, '速度': 72, '總和': 253}"
020,拉達,ラッタ,Raticate,['一般'],"{'普特': ['逃跑', '毅力'], '夢特': '活力'}","{'HP': 55, '攻擊': 81, '防禦': 60, '特攻': 50, '特防': 70, '速度': 97, '總和': 413}"
021,烈雀,オニスズメ,Spearow,"['一般', '飛行']","{'普特': '銳利目光', '夢特': '狙擊手'}","{'HP': 40, '攻擊': 60, '防禦': 30, '特攻': 31, '特防': 31, '速度': 70, '總和': 262}"
022,大嘴雀,オニドリル,Fearow,"['一般', '飛行']","{'普特': '銳利目光', '夢特': '狙擊手'}","{'HP': 65, '攻擊': 90, '防禦': 65, '特攻': 61, '特防': 61, '速度': 100, '總和': 442}"
023,阿柏蛇,アーボ,Ekans,['毒'],"{'普特': ['威嚇', '蛻皮'], '夢特': '緊張感'}","{'HP': 35, '攻擊': 60, '防禦': 44, '特攻': 40, '特防': 54, '速度': 55, '總和': 288}"
024,阿柏怪,アーボック,Arbok,['毒'],"{'普特': ['威嚇', '蛻皮'], '夢特': '緊張感'}","{'HP': 60, '攻擊': 95, '防禦': 69, '特攻': 65, '特防': 79, '速度': 80, '總和': 448}"
